Year_and_Month,Num_Sold,Average_Transaction,Product,Categoryid
"2022 01",11,1301.880000,"HP Pavilion 14",120
"2022 01",11,132.900000,"Microsoft Surface Headphones 2",120
"2022 01",11,36.150000,"Reeves Acrylic Paints (Set of 24)",115
"2022 01",11,13.130000,"Princeton Velvetouch Mixed-Media Brushes (Set of 4)",115
"2022 01",10,27.520000,"LTCA Year Up Foam Finger (Black)",130
"2022 01",10,343.970000,"Slack Premium",120
"2022 01",10,68.880000,"Logitech MX Master 3S Mouse",120
"2022 01",10,23.440000,"Artify Professional Oil Paint Brush Set (15 Brushes)",115
"2022 01",10,24.280000,"Crayola Washable Kids’ Paint Brushes (Set of 10)",115
"2022 01",10,57.700000,"LTCA Year Up Lightweight Windbreaker (Gray)",130
"2022 01",9,7.000000,"Crayola Washable Watercolors (Set of 16)",115
"2022 01",9,318.960000,"R Studio Desktop",120
"2022 01",9,14.600000,"LTCA Year Up Candle (Vanilla Scented)",130
"2022 01",9,171.900000,"Creative Writing Workshop",100
"2022 01",9,30.160000,"RAVPower 60W 6-Port USB Charger",120
"2022 01",9,201.800000,"Theater Arts: A Practical Guide",100
"2022 01",9,28.000000,"Artist Blending Stumps (Pack of 6)",115
"2022 01",9,28.920000,"LTCA Year Up Beanie Hat (Gray)",130
"2022 01",9,13.130000,"Ruled Index Cards (4x6, Assorted Colors, Pack of 100)",110
"2022 01",9,188.200000,"Fluid Mechanics",100
"2022 01",8,26.520000,"LTCA Year Up Basketball (Regulation Size)",130
"2022 01",8,5.240000,"Five Star Flex Hybrid NoteBinder",110
"2022 01",8,232.400000,"Sports Management",100
"2022 01",8,6.000000,"Speedball Calligraphy Ink (Black)",115
"2022 01",8,111.600000,"Phonetics and Phonology",100
"2022 01",8,166.000000,"Circuits and Systems",100
"2022 01",8,18.000000,"LTCA Year Up Sticky Notes Set",130
"2022 01",8,88.420000,"English as a Second Language",100
"2022 01",8,76.400000,"IELTS Academic Study Guide",125
"2022 01",8,20.360000,"LTCA Year Up Trucker Hat (Blue Mesh)",130
"2022 01",8,48.000000,"LTCA Year Up Bluetooth Speaker (Portable)",130
"2022 01",8,837.280000,"Realme Pad",120
"2022 01",8,108.330000,"Samsung Galaxy Buds 2 Pro",120
"2022 01",8,65.500000,"LTCA Year Up Pullover Hoodie (Navy Blue)",130
"2022 01",8,76.360000,"Elgato Stream Deck MK",120
"2022 01",8,74.280000,"TOEFL Prep Book 2024",125
"2022 01",8,16.600000,"Wire Armature for Sculpting (16 Gauge, 10 feet)",115
"2022 01",8,12.000000,"Pilot Parallel Pen Calligraphy Set",115
"2022 01",8,61.140000,"Strathmore Sketch Pad (9x12 inches)",115
"2022 01",8,32.640000,"Strathmore Toned Tan Sketch Paper Pad (9x12 inches)",115
"2022 01",8,76.530000,"Blue Yeti Nano USB Microphone",120
"2022 01",8,76.360000,"Kensington SD5700T Docking Station",120
"2022 01",8,57.120000,"Sennelier Soft Pastels (Set of 24)",115
"2022 01",8,23.440000,Mockingjay,125
"2022 01",8,17.700000,"Girl, Wash Your Face",125
"2022 01",8,206.160000,"Introduction to Psychology",100
"2022 01",8,17.700000,"To Kill a Mockingbird",125
"2022 01",7,23.440000,"Silver Brush Limited Ruby Satin Brushes (Set of 6)",115
"2022 01",7,2.400000,"Binder Clips (Assorted Sizes, Pack of 36)",110
"2022 01",7,12.400000,"Hammermill Copy Plus Paper (Letter Size, 500 Sheets)",110
"2022 01",7,12.880000,"Astrobrights Colored Paper (Assorted Colors, Pack of 100)",110
"2022 01",7,75.420000,"WD My Passport HDD (4TB)",120
"2022 01",7,133.100000,"Business Law Today",100
"2022 01",7,253.400000,"Blockchain Technology",100
"2022 01",7,24.330000,"LTCA Year Up Throw Pillow (Navy and Gold Logo)",130
"2022 01",7,17.700000,"Pendaflex Hanging File Folders (Assorted Colors, Pack of 25)",110
"2022 01",7,265.070000,"SPSS Statistics for Students",120
"2022 01",7,6.000000,"LTCA Year Up Vinyl Stickers (Set of 5)",130
"2022 01",7,26.520000,"A Brief History of Time",125
"2022 01",7,206.160000,"Introduction to Philosophy",100
"2022 01",7,187.250000,"Computer Programming: A Practical Introduction",100
"2022 01",7,24.200000,"LTCA Year Up Passport Holder (Leather)",130
"2022 01",7,65.500000,"LTCA Year Up Pullover Hoodie (Gray)",130
"2022 01",7,6.000000,"LTCA Year Up Earbuds (Wired)",130
"2022 01",7,17.700000,"Erin Condren LifePlanner (Vertical Layout)",110
"2022 01",7,114.710000,"Shure AONIC 50",120
"2022 01",7,28.920000,"Harry Potter and the Chamber of Secrets",125
"2022 01",7,2.400000,"Leuchtturm1917 A5 Notebook (Dotted, Navy Blue)",110
"2022 01",7,61.140000,"Moleskine Art Sketchbook (8.5x11 inches)",115
"2022 01",7,50.960000,"LTCA Year Up Bomber Jacket (Black)",130
"2022 01",7,57.120000,"LTCA Year Up Track Jacket (Navy Blue)",130
"2022 01",7,29.300000,"Wax Carving Tools (Set of 10)",115
"2022 01",7,39.720000,"LTCA Year Up Laptop Sleeve (13-inch)",130
"2022 01",7,9.450000,"Scotch Magic Tape (3-Pack with Dispenser)",110
"2022 01",7,134.560000,"Advanced Calculus",100
"2022 01",7,12.300000,"LTCA Year Up Picture Frame (Wooden, 8x10)",130
"2022 01",7,10.160000,"Pentel Hi-Polymer Block Erasers (Pack of 3)",110
"2022 01",7,52.400000,"Prismacolor Premier Colored Pencils (Set of 72)",115
"2022 01",7,20.360000,"Cork Bulletin Board with Push Pins",110
"2022 01",7,10.160000,"Avery Heavy-Duty 3-Ring Binder (2-inch, Black)",110
"2022 01",7,13.130000,"The Hunger Games",125
"2022 01",7,68.880000,"Apple Magic Keyboard",120
"2022 01",7,40.550000,"UHU Glue Stick (Pack of 3)",115
"2022 01",7,4.320000,"Rhodia DotPad No",110
"2022 01",7,131.070000,"Turtle Beach Stealth 700 Gen 2",120
"2022 01",7,57.700000,"LTCA Year Up Full-Zip Hoodie (Charcoal Gray)",130
"2022 01",7,47.610000,"LTCA Year Up Power Bank (10,000mAh)",130
"2022 01",7,1317.700000,"Dell Inspiron 15",120
"2022 01",7,119.810000,"HyperX Cloud II Wireless",120
"2022 01",7,603.500000,"Apple iPad Mini",120
"2022 01",7,226.790000,"Social Policy and Public Welfare",100
"2022 01",7,393.210000,"HP Prime Graphing Calculator",120
"2022 01",7,51.960000,"LTCA Year Up Water Bottle (Stainless Steel)",130
"2022 01",7,296.600000,"Visual Studio 2022",120
"2022 01",7,36.150000,"LTCA Year Up Gym Duffel Bag (Navy Blue)",130
"2022 01",7,6.850000,"Paper Mate Flair Felt Tip Pens (Assorted Colors)",110
"2022 01",7,74.280000,"Test Prep Workbook for GED",125
"2022 01",7,20.360000,"Oxford Twin-Pocket Folders (Assorted Colors, Pack of 10)",110
"2022 01",7,9.450000,"Pilot G2 Retractable Gel Pens (Black)",110
"2022 01",7,23.440000,"LTCA Year Up Lanyard (Navy Blue)",130
"2022 01",6,8.000000,"LTCA Year Up Gel Pen (Pack of 2)",130
"2022 01",6,71.740000,"Anker PowerExpand USB-C Dock",120
"2022 01",6,28.920000,Blink,125
"2022 01",6,14.600000,"Art Supply Caddy (Rolling Cart)",115
"2022 01",6,57.700000,"Tombow Dual Brush Pens (Set of 20)",115
"2022 01",6,12.400000,"Calculator Cover Case",110
"2022 01",6,8.000000,"Clay Roller and Cutter Set",115
"2022 01",6,50.960000,"Crayola Crayons (Set of 64)",115
"2022 01",6,52.960000,"Gamblin 1980 Oil Color Set (8 Tubes)",115
"2022 01",6,23.440000,"Into the Wild",125
"2022 01",6,10.160000,"Sticky Flags for Page Marking (Assorted Colors)",110
"2022 01",6,61.140000,"LTCA Year Up Embroidered Baseball Cap (Gray)",130
"2022 01",6,837.520000,"Google Pixel Tablet",120
"2022 01",6,47.520000,"The Merriam-Webster Dictionary",125
"2022 01",6,24.000000,"LTCA Year Up Certificate Frame",130
"2022 01",6,171.900000,"Art History: The Renaissance to Modernism",100
"2022 01",6,296.600000,"Intuit QuickBooks Student Edition",120
"2022 01",6,44.000000,"LTCA Year Up Classic Cotton T-Shirt (Navy Blue)",130
"2022 01",6,191.950000,"Ethics and Moral Reasoning",100
"2022 01",6,7.850000,"Ticonderoga No",110
"2022 01",6,50.960000,"LTCA Year Up Quarter-Zip Sweatshirt (Maroon)",130
"2022 01",6,215.770000,"Probability and Statistics",100
"2022 01",6,204.580000,"Applied Linguistics",100
"2022 01",6,883.480000,"TCL NXTPAPER 10s",120
"2022 01",6,29.810000,"HP 65W Slim Charger",120
"2022 01",6,119.280000,"Audio-Technica ATH-M50xBT2",120
"2022 01",6,39.750000,"Mod Podge Matte Finish (8 oz)",115
"2022 01",6,39.750000,"Aleenes Tacky Glue (4 oz)",115
"2022 01",6,10.160000,"Artist Paintbrush Set (Pack of 10)",110
"2022 01",6,187.440000,"Mathematical Modeling",100
"2022 01",6,69.110000,"Razer DeathAdder V2 Mouse",120
"2022 01",6,20.360000,"Plastic Report Covers (Clear Front, Pack of 10)",110
"2022 01",6,2.880000,"Pentel Twist-Erase Mechanical Pencils (0",110
"2022 01",6,14.000000,"Play-Doh Modeling Compound (Pack of 10)",115
"2022 01",6,8.450000,"Pilot Precise V5 RT Rollerball Pens (Black)",110
"2022 01",6,219.300000,"Organic Chemistry II",100
"2022 01",6,701.880000,"Apple iPad Air (10.9-inch)",120
"2022 01",6,178.800000,"Shakespeare’s Works",100
"2022 01",6,122.210000,"Pharmacology: A Comprehensive Guide",100
"2022 01",6,24.280000,"Sta-Wet Palette for Acrylic Paints",115
"2022 01",6,10.100000,"LTCA Year Up Coffee Mug (Ceramic, Black)",130
"2022 01",6,13.130000,"Rocketbook Fusion Smart Reusable Notebook",110
"2022 01",6,66.000000,"LTCA Year Up Full-Zip Hoodie (Black)",130
"2022 01",6,1292.000000,"ASUS VivoBook S15",120
"2022 01",6,265.070000,"Grammarly Premium",120
"2022 01",6,2.400000,"Five Star Wirebound Notebook (1 Subject, College Ruled)",110
"2022 01",6,116.200000,"Abstract Algebra",100
"2022 01",6,12.400000,"Elastic Book Bands (Set of 3)",110
"2022 01",6,19.360000,"Graph Paper Pads (Letter Size, Pack of 4)",110
"2022 01",6,44.500000,"Field Sketch Easel (Aluminum, Portable)",115
"2022 01",6,336.480000,"Notion Pro",120
"2022 01",6,771.360000,"Lenovo Yoga Smart Tab",120
"2022 01",6,33.100000,"LTCA Year Up Canvas Tote Bag",130
"2022 01",6,7.850000,"3M Transparent Tape (Pack of 12)",110
"2022 01",6,15.240000,"In Defense of Food",125
"2022 01",6,9.950000,"Uni-ball Vision Elite Rollerball Pens (Blue)",110
"2022 01",6,13.130000,"X-Acto Precision Knife with Blade Refills",110
"2022 01",6,61.140000,"LTCA Year Up Embroidered Baseball Cap (Navy Blue)",130
"2022 01",6,132.300000,"Robotics: Concepts and Control",100
